Model Number,Model Name,Variant,Retail Price,Market Price
116659,Submariner Date,,~$100500,"$131,325"
228398TBR,Day-Date 40,,"$89,200","$80,834"
279163,Lady Datejust,,"$10,050","$9,039"
279135RBR,Lady Datejust,,"$39,900","$31,657"
278243,Datejust 31,,"$10,900","$11,563"
278341RBR,Datejust 31,,"$14,500","$15,466"
278278,Datejust 31,,"$31,300","$30,624"
278288RBR,Datejust 31,,"$43,400","$36,481"
278289RBR,Datejust 31,,"$46,100","$35,335"
278275,Datejust 31,,"$34,100","$31,610"
81318,Pearlmaster 34,,~$34700,"$25,061"
81298,Pearlmaster 34,,~$49200,"$42,365"
86285,Pearlmaster 39,,~$68700,"$64,975"
50529,Dual Time,,~$20800,"$11,457"
50709RBR,Time,,~$24700,"$14,558"
5501,Air-King,,,"$3,364"
218349,Day-Date II 41,,~$95800,"$55,367"
6241,Cosmograph Daytona,,,"$216,780"
6239,Cosmograph Daytona,,,"$67,445"
6085,Oyster Perpetual 34,,,"$3,974"
6622,Cellini,,,"$4,286"
15233,Oyster Perpetual Date 34,,,"$4,432"
176234,Oyster Perpetual 26,,"$7,850","$4,174"
5100,Beta 21,,,"$7,477"
115210,Oyster Perpetual Date 34,,~$7000,"$5,577"
176210,Oyster Perpetual 26,,~$5400,"$3,460"
6610,Explorer,,,"$13,979"
67514,Oyster Perpetual 31,,,"$4,865"
179179,Lady Datejust 26,,~$27800,"$13,244"
69179,Lady Datejust 26,,,"$8,537"
116139,Datejust 36,,~$18000,"$13,043"
6084,Oyster Perpetual 34,,,"$3,583"
6564,Oyster Perpetual 34,,,"$2,685"
68279,Datejust 31,,,"$12,358"
4243,Cellini,,~$10300,"$7,791"
80299,Pearlmaster 29,,~$73200,"$16,046"
6305,Datejust 36,,,"$7,357"
3372,Oyster Perpetual 32,,,"$3,644"
18346,Day-Date 36,,,"$30,266"
6627,Lady Datejust 31,,,"$7,589"
1802,Day-Date 36,,,"$16,355"
69298,Pearlmaster 29,,~$21300,"$16,293"
15038,Oyster Perpetual Date 34,,,"$8,075"
6538,Submariner,,,"$17,340"
6751,Oyster Perpetual 31,,,"$4,062"
69190,Oyster Perpetual Lady Date 26,,~$2300,"$3,251"
6262,Cosmograph Daytona,,~$38000,"$67,098"
178275,Datejust 31,,~$30700,"$24,623"
14203,Oyster Perpetual 34,,,"$4,916"
18946,Day-Date 39,,~$107800,"$52,425"
6424,Oyster Precision 36,,,"$2,834"
67198,Oyster Perpetual 24,,,"$6,037"
179158,Lady Datejust 26,,~$39200,"$20,852"
2508,Chronograph,,,"$8,777"
6567,Oyster Perpetual 34,,,"$5,123"
16718,GMT-Master II,,,"$31,050"
6105,Datejust 36,,,"$5,551"
1008,Oyster Perpetual 34,,,"$2,565"
6234,Pre-Daytona,,,"$25,315"
80298,Pearlmaster 29,,~$47300,"$18,475"
6542,GMT-Master,,,"$33,508"
168628,Yacht-Master 35,,~$29400,"$14,853"
6238,Pre-Daytona,,,"$41,137"
179175,Lady Datejust 26,,~$29500,"$16,987"
69158,Lady Datejust 26,,,"$15,489"
6551,Oyster Perpetual 31,,,"$4,147"
18048,Day-Date President 36,,,"$17,945"
6748,Oyster Perpetual 31,,,"$4,351"
69088,Lady Datejust 26,,,"$12,679"
6082,Oyster Precision 36,,,"$2,223"
6284,Oyster Perpetual 34,,,"$3,164"
6609,Datejust Turn-O-Graph,,,"$4,216"
15238,Oyster Perpetual Date 34,,,"$9,757"
6927,Lady Datejust 26,,,"$5,282"
5504,Explorer,,,"$5,533"
179168,Lady Datejust 26,,"$20,600","$11,931"
6202,Turn-O-Graph,,,"$18,041"
81209,Pearlmaster 34,,~$33400,"$16,623"
6240,Cosmograph Daytona,,,"$5,851"
76183,Oyster Perpetual 24,,~$3200,"$4,260"
6611,Day-Date 36,,,"$9,932"
118296,Day-Date 36,,~$71700,"$31,793"
126283RBR,Datejust 36,,"$19,450","$20,202"
1024,Oyster Perpetual,,,"$2,637"
16808,Submariner Yellow Gold,,,"$26,323"
80318,Pearlmaster Yellow Gold,,~$30000,"$13,684"
278383RBR,Datejust 31,,"$17,700","$19,298"
5512,Submariner,,,"$20,366"
16660,Sea-Dweller Triple Six,,~$5300,"$9,677"
278381RBR,Datejust 31,,"$18,000","$18,827"
16519,Daytona Zenith,,~$13900,"$35,619"
